"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"NLD",2016,1,"fix",0.5,0.5,1.00246212121212
"NOR",2016,1,"fix",0.393,0.607,0.711428571428571
"POL",2016,1,"fix",0.717,0.283,0.34469696969697
"PRT",2016,1,"fix",0.731,0.269,1.15833333333333
"ROU",2016,1,"fix",0.865,0.135,0.104347826086957
"SRB",2016,1,"fix",0.5,0.5,0.568571428571429
"SVN",2016,1,"fix",0.865,0.135,0.402173913043478
"SVK",2016,1,"fix",0.878,0.122,0.139097744360902
"TUR",2016,1,"fix",0.333,0.667,0.357142857142857
"USA",2016,1,"fix",0.673,0.327,0.453653846153846
"ARM",2017,1,"fix",0.75,0.25,0.558119658119658
"AUT",2017,1,"fix",0.455,0.545,1.00833333333333
"BEL",2017,1,"fix",0.8,0.2,0.457142857142857
"CHE",2017,1,"fix",0.846,0.154,0.654761904761905
"CZE",2017,1,"fix",0.827,0.173,1.00238095238095
"DNK",2017,1,"fix",0.857,0.143,0.0719298245614035
"EST",2017,1,"fix",0.615,0.385,0.477535014005602
"ESP",2017,1,"fix",0.75,0.25,0.330555555555556
"GEO",2017,1,"fix",0.739,0.261,0.0266666666666667
"GRC",2017,1,"fix",0.712,0.288,0.661666666666667
"HRV",2017,1,"fix",0.692,0.308,1.23888888888889
"HUN",2017,1,"fix",0.643,0.357,1.65526315789474
"IRL",2017,1,"fix",0.846,0.154,0.288888888888889
